Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Tavewa Island Property,5,Fiji,-16.926284699999997,177.35997949999995,0,1,0,0,1,0,0,0,0,0,0,0,0,Ba,46.85,
Johnston Island,12,United States of America,44.024194774282996,-69.390963693579,0,1,1,0,1,1,0,0,0,0,1,0,1,Friendship,3.98,
Quiet Cove Key,0,United States of America,24.738329914275997,-81.01329596693401,0,0,1,0,0,0,0,0,0,0,0,0,0,Marathon,5.13,
Fane Island,2,Canada,48.80727150000001,-123.269226,0,1,1,0,0,0,0,0,0,0,0,0,0,Salt Spring Island,10.1,
Little Ironsides Island,1,United States of America,44.396643,-75.84586,0,0,1,0,0,1,0,0,0,0,0,1,0,Alexandria Bay,5.5,
Carlotta Island,14,Canada,45.138622414478,-80.067633758197,0,0,1,0,0,1,0,0,1,1,0,0,0,Parry Sound,14.51,
"Blackbook Listing
(2132)",0,Nicaragua,11.915325297967,-85.905318260193,0,0,1,1,0,1,0,0,1,0,0,0,0,Granada,3.57,
West Calf Island,62,Ireland,51.474428718687,-9.5181083679199,1,1,1,0,0,0,0,0,0,0,1,0,0,Skibbereen,12.01,
Big Trout Island,30,United States of America,46.055722,-83.853021,1,0,1,0,0,1,0,0,1,0,0,0,0,Thessalon,19.19,
Mouse Island,0,United States of America,41.315669590206,-71.991948846835,0,0,1,0,0,1,0,0,0,0,0,0,0,Noank,0.85,
11907 Ocklawaha Drive,12,United States of America,28.852008357708996,-81.758651344566,0,0,1,0,0,1,0,0,1,0,0,0,0,Silver Lake,2.5,
Nanuku Levu Island,11,Fiji,-16.718845077294,-179.45377655029,0,1,1,0,1,0,0,0,0,0,0,0,0,Cakaudrove Province,74.84,
Ermyn Island,11,Canada,45.202555467843,-80.139403875147,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,11.21,
Second Sister Island,3,Canada,48.8376344,-123.4540569,0,1,1,0,0,0,0,0,0,0,0,0,0,Salt Spring Island,2.12,
Santa Lucia,100,Nicaragua,10.943003057792001,-83.710919960669,0,1,0,0,0,0,0,0,0,0,0,0,0,Pococí,31.06,
Lime Cay,10,Nicaragua,12.438022,-83.43251500000002,0,1,0,0,1,0,0,0,0,0,0,0,0,Laguna de Perlas,17.4,
Starlings Island,75,United States of America,37.916135851615,-75.732707724854,1,0,0,0,0,0,0,0,1,0,0,0,0,Crisfield,8.07,
Exile Island,15,Fiji,-16.271126265195,179.43393947924,0,1,0,0,1,0,0,0,0,0,1,0,0,Labasa,12.11,
North East Pavis Island,11,Canada,45.56096820000001,-80.4662676,0,0,0,0,0,0,0,0,1,0,0,0,0,Parry Sound,25.58,
Motu Opuou,1,France,-16.561297861051,-151.4558982933,0,1,0,0,1,0,0,0,0,0,0,0,0,Avarua,631.34,
Lighthouse Island,5,Canada,45.894251275682,-80.74134428173801,0,0,1,1,0,1,0,0,1,1,0,0,0,Lively,42.07,
Cherry Island,8,United States of America,38.563030376469,-76.211800904907,0,0,0,0,0,0,0,0,1,0,0,0,0,Algonquin,5.89,
Diamond Cay,1,Honduras,16.113511905399,-86.941889989258,0,1,0,0,1,0,0,0,0,0,0,0,0,Utila,1.18,
O'Dowd Island,13,United States of America,44.74313409345,-93.518613454492,0,0,1,0,0,1,0,1,1,0,0,0,1,Shakopee,3.81,
Ahe Atoll Motu,17,France,-14.43103497743,-146.27718546453002,0,1,1,0,1,0,0,0,0,0,0,0,0,Avarua,1003.01,
Papoose Island,0,United States of America,44.247437079505,-76.149344934393,0,0,1,0,0,0,0,0,0,0,0,0,0,Clayton,3.19,
Island C-915,18,Canada,46.056973897166,-81.565002617322,0,0,1,0,0,1,0,0,1,1,0,0,0,Espanola,16.93,
Cusabo Island,47,United States of America,32.653843,-79.976937,1,1,1,0,0,1,0,0,0,0,0,0,0,Folly Beach,2.13,
Island C-921,2,Canada,45.66945379462,-80.159070942297,0,0,1,0,0,1,0,0,1,1,0,0,0,Parry Sound District,16.69,
Morlock Island - C-933,3,Canada,45.4308051,-80.3833537,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,17.85,
Isla Quiros,4,Panama,8.4345311697522,-78.983000706082,0,1,0,0,1,0,0,0,0,0,0,0,0,Distrito de Balboa,2.51,
Lizzie Island,5,United States of America,46.642863140349,-96.013993372522,0,0,1,0,1,1,0,0,1,0,0,0,0,Pelican Rapids,5.96,
Campbell Island,97,United States of America,42.551183,-73.75268,1,0,0,0,0,0,0,0,0,0,0,1,0,Castleton-on-Hudson,2.27,
Tilloo Pond,11,Bahamas,26.444296883902002,-76.988294073541,0,1,1,1,1,1,0,1,0,0,1,0,0,Marsh Harbour,8.16,
xBrown Islandx,5,United States of America,45.069038770373,-68.153034165173,0,0,1,0,0,1,0,0,1,0,0,0,0,Enfield,23.75,
Farquharson Island,135,Canada,50.597193543747,-126.32138808623002,0,0,0,0,0,0,0,0,0,0,0,0,0,Port McNeill,33.56,
Steele Island,0,Canada,45.551207170262,-80.490211248398,0,0,0,0,0,0,0,0,0,0,0,0,0,Parry Sound,26.17,
Bustard Island,3,Canada,45.894028959984,-80.888889710315,0,0,1,0,0,1,0,0,1,0,0,0,0,Lively,39.3,
1 Snake Island,7,Canada,44.795874991631,-79.84481724853501,0,0,0,0,0,0,0,0,1,1,0,0,0,Midland,3.67,
Ropewalk Caye,7,Belize,17.228154932228,-87.861184801819,0,1,0,0,1,0,0,0,0,0,0,0,0,Belize City,29.04,
Dry Island,2,Canada,45.125510239123,-79.975811217383,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,15.6,
Fox Point Island,2,United States of America,44.954250729144,-67.394955200261,0,0,1,0,0,1,0,0,1,1,0,0,0,Washington County,10.52,
Morrow Island,4,United States of America,44.380163276388,-69.32967569252901,0,0,0,0,0,0,0,0,1,0,0,0,0,Searsmont,6.77,
Tahifehifa Island,1,Tonga,-18.811052408543,-173.99761307277,0,1,0,0,1,0,0,0,0,0,0,0,0,Neiafu,11.12,
Pickerel Pine Island,3,Canada,45.99534,-80.605994,0,0,0,0,0,0,0,0,0,0,0,0,0,Greater Sudbury,38.79,
